Uri,Titulo,Fecha de lanzamiento,Duración en minutos,Género_Christmas film,Género_Huis clos,Género_LGBT-related film,Género_Peplum film genre,Género_Revisionist Western,Género_Slavic fantasy,Género_Western film,Género_action film,Género_action thriller,Género_adventure film,Género_alien invasion,Género_art film,Género_biographical film,Género_black comedy film,Género_children's film,Género_comedy drama,Género_comedy film,Género_comedy horror,Género_comedy thriller,Género_coming-of-age fiction,Género_crime film,Género_crime thriller,Género_detective film,Género_disaster film,Género_documentary film,Género_drama film,Género_dystopian film,Género_erotic film,Género_erotic thriller,Género_fantasy film,Género_fiction film,Género_film based on a novel,Género_film based on literature,Género_film noir,Género_flashback film,Género_gangster film,Género_girls with guns,Género_heist film,Género_historical film,Género_horror film,Género_kung fu film,Género_martial arts film,Género_melodrama,Género_musical film,Género_mystery film,Género_neo-noir,Género_parody film,Género_pirate film,Género_political drama,Género_political film,Género_political thriller film,Género_pornographic film,Género_post-apocalyptic film,Género_psychological thriller,Género_religious satire,Género_romance film,Género_romantic comedy,Género_science fiction action film,Género_science fiction comedy,Género_science fiction film,Género_silent film,Género_slasher film,Género_speculative fiction film,Género_sport film,Género_spy film,Género_superhero film,Género_swashbuckler film,Género_teen film,Género_thriller film,Género_treasure hunt film,Género_trial film,Género_vampire film,Género_vigilante film,Género_war film,Género_zombie film,País_Argentina,País_Australia,País_Belgium,País_Canada,País_Chile,País_Denmark,País_France,País_Germany,País_Greece,País_Hong Kong,País_India,País_Iran,País_Italy,País_People's Republic of China,País_Portugal,País_Russia,País_Soviet Union,País_Spain,País_Turkey,País_United Kingdom,País_United States of America,Director_Abbas Alibhai Burmawalla,Director_Alex Kurtzman,Director_Alexander Sokurov,Director_Alfred Hitchcock,Director_Alfredo De Villa,Director_Ali Hamroyev,Director_Anker Sørensen,Director_Arnold Laven,Director_Ben Affleck,Director_Ben Burtt,Director_Ben Rock,Director_Benny Chan,Director_Bob Clark,Director_Brian De Palma,Director_Carlos Saura,Director_Carol Reed,Director_Caryn Krooth,Director_Catherine Breillat,Director_Charles Gervais,Director_Chris Hopewell,Director_Christopher Nolan,Director_Crispian Mills,Director_Dani De Felippo,Director_David Lynch,Director_Don Siegel,Director_Eduardo Rodríguez,Director_Edvin Tiemroth,Director_Ernesto Díaz Espinoza,Director_Francis Ford Coppola,Director_Frank Capra,Director_Frank Dunlop,Director_Franklin J. Schaffner,Director_Gary Goddard,Director_George Cukor,Director_Gore Verbinski,Director_Guillaume Canet,Director_Gunasekhar,Director_Harald Zwart,Director_Harold Becker,Director_Isabelle Broué,Director_James Cameron,Director_James McTeigue,Director_Jane Campion,Director_Jeff Kanew,Director_John Badham,Director_Jonathan Demme,Director_Joone,Director_Joseph L. Mankiewicz,Director_João Pedro Rodrigues,Director_Juan J. Campanella,Director_Jugal Hansraj,Director_Julian Farino,Director_Ken Loach,Director_Kevin S. Tenney,Director_Kimberly Peirce,Director_Kurt Hoffmann,Director_Lambert Hillyer,Director_Lasse Hallström,Director_Laurent Cantet,Director_Lewis Milestone,Director_Lina Wertmüller,Director_Lloyd Bacon,Director_Luigi Comencini,Director_M. Night Shyamalan,Director_Mansoor Khan,Director_Martin McDonagh,Director_Martin Scorsese,Director_Mastan Alibhai Burmawalla,Director_Matthew Vaughn,Director_Michel Blanc,Director_Mike Binder,Director_Nicholas Ray,Director_Nikolai Lebedev,Director_Olivier Marchal,Director_Olivier Nakache,Director_Ondi Timoner,Director_Orson Welles,Director_Paprika Steen,Director_Pascal Bonitzer,Director_Ralph Thomas,Director_Ray Cameron,Director_René Clair,Director_Richard Linklater,Director_Richard Wilson,Director_Ridley Scott,Director_Robert Benton,Director_S. Sylvan Simon,Director_Sam Mendes,Director_Sam Wood,Director_Sean Anders,Director_Sidney Lumet,Director_Stephen Herek,Director_Stephen King,Director_Steven Brill,Director_Stéphane Brizé,Director_Tanaz Eshaghian,Director_Tasos Boulmetis,Director_Terence Young,Director_Terry Gilliam,Director_Terry Jones,Director_Timur Bekmambetov,Director_Tom DiCillo,Director_Tony Bui,Director_Tony Scott,Director_Victor Fleming,Director_Vincente Minnelli,Director_Volker Schlöndorff,Director_Éric Toledano
http://www.wikidata.org/entity/Q24911,The Last Winter,1960,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q24933,The Haunted Castle,1960,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q24953,Monty Python’s Life of Brian,1979,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q24980,Monty Python's The Meaning of Life,1983,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q25005,Rio Rita,1942,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q25057,Brazil,1985,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q25069,The Ogre,1996,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q25086,Pay or Die,1960,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q25139,American Beauty,1999,121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q25188,Inception,2010,148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q2875,Gone with the Wind,1939,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q3092,The Man Between,1953,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
